Site_id,Station_name,Province,lat,lng,Region,row_idx_TIFF,col_idx_TIFF,Tile_ID_zoom12
1,กรมพัฒนาพลังงานทดแทน และ อนุรักษ์พลังงาน กรุงเทพมหานคร,กรุงเทพมหานคร,13.749361,100.5175,C,846,863,132203310131
2,สถานีอุตุนิยมวิทยานครราชสีมา,นครราชสีมา,14.9701,102.0825,NE,777,950,132212021023
3,ศูนย์อุตุนิยมวิทยาภาคตะวันออกเฉียงเหนือตอนบน จ.ขอนแก่น,ขอนแก่น,16.4625,102.785,NE,691,990,132212010021
4,สถานีอุตุนิยมวิทยาร้อยเอ็ด,ร้อยเอ็ด,16.0748,103.6048,NE,713,1035,132212011230
5,สถานีอุตุนิยมวิทยาอุบลราชธานี,อุบลราชธานี,15.241,105.0197,NE,761,1114,132212121010
6,สถานีอุตุนิยมวิทยานครพนม,นครพนม,17.4121,104.7785,NE,636,1101,132210321220
7,ส่วนอุทกวิทยาที่ 1 จ.หนองคาย,หนองคาย,17.8774,102.7167,NE,609,986,132210230002
8,สถานีอุตุนิยมวิทยาเลย,เลย,17.4095,101.7298,NE,636,931,132210220321
9,ศูนย์บริการวิชาการที่ 7 จ.เชียงใหม่,เชียงใหม่ (สันทราย),18.9217,99.0261,N,548,780,132201300310
10,ศูนย์บริการวิชาการที่ 8 จ.พิษณุโลก,พิษณุโลก,16.9291,100.2362,C,664,848,132201332300
11,สถานีอุตุนิยมวิทยาเพชรบูรณ์,เพชรบูรณ์,16.4346,101.1521,C,692,899,132203111130
12,สถานีอุตุนิยมวิทยาหนองพลับ จ.ประจวบคีรีขันธ์,ประจวบคีรีขันธ์ (หนองพลับ),12.5889,99.7345,W,912,820,132203303332
13,สถานีอุตุนิยมวิทยาระนอง,ระนอง,9.9548,98.6339,S,1061,758,132221102230
14,ศูนย์อุตุนิยมวิทยาภาคใต้ฝั่งตะวันตก  จ.ภูเก็ต,ภูเก็ต,8.104,98.3075,S,1164,740,132221211132
15,ศูนย์บริการวิชาการที่ 10 จ.สงขลา ,สงขลา,6.9312,100.3692,S,1230,855,132221330101
16,สถานีอากาศเกษตรสุรินทร์,สุรินทร์,14.8926,103.4487,NE,781,1026,132212031201
17,สถานีอุตุนิยมวิทยาน่าน,น่าน,18.7671,100.7636,N,557,877,132201311230
18,สถานีอุตุนิยมวิทยาทองผาภูมิ จ.กาญจนบุรี,กาญจนบุรี (ทองผาภูมิ),14.7445,98.6332,W,789,758,132203120230
19,สถานีอุตุนิยมวิทยากาญจนบุรี,กาญจนบุรี (อาเภอเมือง),14.0226,99.536,W,831,809,132203123320
20,สถานีอุตุนิยมวิทยาแพร่,แพร่,18.1288,100.1624,N,594,844,132201312231
21,โรงไฟฟ้าแม่สะงา จ.แม่ฮ่องสอน,แม่ฮ่องสอน (โรงไฟฟ้าพลังน้าแม่สะงา),19.4841,97.9646,N,515,721,132201033212
22,สถานีอุตุนิยมวิทยาแม่สะเรียง,แม่ฮ่องสอน (แม่สะเรียง),18.1764,97.9319,N,591,719,132201213212
23,สถานีเกษตรหลวงอินทนนท์ จ.เชียงใหม่,เชียงใหม่ (ดอยอินทนนท์),18.5426,98.5194,N,570,752,132201302002
24,ศูนย์สำรวจอุทกวิทยาที่ 2 จ.เชียงราย,เชียงราย,19.9435,99.8461,N,488,826,132201132000
25,สถานีอุตุนิยมวิทยาตราด,ตราด,11.7803,102.8782,E,958,995,132212232012
26,สถานีอุตุนิยมวิทยาปราจีนบุรี,ปราจีนบุรี,14.0509,101.3693,E,829,911,132212022221
27,สถานีอุตุนิยมวิทยาสระแก้ว,สระแก้ว,13.6889,102.5042,E,850,974,132212201130
28,สถานีอุตุนิยมวิทยาลำปาง,ลำปาง,18.2784,99.5065,N,586,807,132201303300
29,งานอากาศเกษตรดอยมูเซอ จ.ตาก,ตาก,16.7524,98.9356,N,674,775,132201322321
30,สถานีอุตุนิยมวิทยาชุมพร,ชุมพร,10.4988,99.1888,S,1030,789,132221101222
31,สถานีอุตุนิยมวิทยาตรัง,ตรัง,7.5124,99.6208,S,1197,813,132221303121
32,สถานีอุตุนิยมวิทยาชลบุรี,ชลบุรี,13.3556,100.9824,E,869,889,132203311320
33,สถานีอุตุนิยมวิทยาสุราษฏร์ธานี อ.พุนพิน,สุราษฎร์ธานี (พุนพิน),9.1341,99.1519,S,1107,787,132221121222
34,สถานีอุตุนิยมวิทยาเกาะสมุย จ.สุราษฎร์ธานี,สุราษฎร์ธานี (เกาะสมุย),9.4509,100.0336,S,1089,836,132221130032
35,สถานีอุตุนิยมวิทยาประจวบคีรีขันธ์ อ.เมือง,ประจวบคีรีขันธ์ (อาเภอเมือง),11.8352,99.8102,W,955,824,132203323111
36,สถานีอุตุนิยมวิทยานครสวรรค์,นครสวรรค์,15.6719,100.1323,C,736,842,132203112033
37,สถานีอุตุนิยมวิทยาอุทกบัวชุม จ.ลพบุรี,ลพบุรี,15.2665,101.1875,C,760,901,132203131111
38,สถานีอุตุนิยมวิทยานราธิวาส,นราธิวาส,6.4269,101.8253,S,1258,936,132230220330
39,สถานีอุตุนิยมวิทยาปทุมธานี,ปทุมธานี,14.1162,100.6206,C,825,869,132203133202
40,สถานีอุตุนิยมวิทยาพระนครศรีอยุธยา,พระนครศรีอยุธยา,14.535,100.7247,C,801,875,132203133010
41,สถานีอุตุนิยมวิทยาชัยนาท,ชัยนาท,15.1579,100.1913,C,766,845,132203130013
42,สถานีอุตุนิยมวิทยาสมุทรปราการ (บางปลา) จ.สมุทรปราการ,สมุทรปราการ (บางปลา),13.5188,100.7577,C,859,877,132203311210
43,สถานีอุตุนิยมวิทยาฉะเชิงเทรา,ฉะเชิงเทรา,13.5706,101.4521,E,856,915,132212200210
44,สถานีอุตุนิยมวิทยาระยอง,ระยอง,12.6336,101.3408,E,910,909,132212202223
45,สถานีอุตุนิยมวิทยาราชบุรี,ราชบุรี,13.4892,99.7924,W,861,823,132203301313
46,สถานีอุตุนิยมวิทยาลำพูน,ลาพูน,18.5666,99.0385,N,569,781,132201302110
47,สถานีอุตุนิยมวิทยาพิจิตร,พิจิตร,16.3386,100.3671,C,698,855,132203110123
48,สถานีอุตุนิยมวิทยาอุดรธานี,อุดรธานี,17.3784,102.8063,NE,638,991,132210230223
